model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S2d - 1a,Escape distance,Gaussian,3504,fixed,(Intercept),0.153,-0.197,0.495
"","","","",fixed,starting distance (ln),0.466,0.432,0.499
"","","","",fixed,flock size (ln),-0.021,-0.047,0.005
"","","","",fixed,body mass (ln),0.149,0.039,0.259
"","","","",fixed,time (sine of radians),0.023,-0.017,0.061
"","","","",fixed,time (cosine of radians),-0.009,-0.041,0.023
"","","","",fixed,temperature,-0.026,-0.062,0.012
"","","","",fixed,# of humans,-0.053,-0.104,-0.001
"","","","",random,species within day & year (Intercept),8%,5%,8%
"","","","",random,species within site (Intercept),3%,2%,3%
"","","","",random,site (Intercept),6%,4%,5%
"","","","",random,species (Intercept),3%,3%,3%
"","","","",random,genus (Intercept),13%,10%,12%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),0%,-2%,15%
"","","","",random,# of humans (slope) | country,0%,-2%,15%
"","","","",random,year (Intercept),6%,4%,7%
"","","","",random,Residual,61%,38%,69%
Table S2d - 1b,Escape distance,Gaussian,3504,fixed,(Intercept),0.108,-0.178,0.381
"","","","",fixed,starting distance (ln),0.469,0.434,0.503
"","","","",fixed,flock size (ln),-0.023,-0.048,0.003
"","","","",fixed,body mass (ln),0.085,-0.002,0.173
"","","","",fixed,time (sine of radians),0.015,-0.02,0.051
"","","","",fixed,time (cosine of radians),0.003,-0.028,0.035
"","","","",fixed,temperature,-0.021,-0.054,0.012
"","","","",fixed,# of humans,-0.056,-0.117,0.003
"","","","",random,# of humans (slope) | species within day & year,0%,0%,0%
"","","","",random,species within site (Intercept),5%,4%,6%
"","","","",random,site (Intercept),7%,6%,7%
"","","","",random,species (Intercept),16%,14%,16%
"","","","",random,# of humans (slope) | genus,0%,0%,0%
"","","","",random,weekday (Intercept),0%,0%,1%
"","","","",random,country (Intercept),0%,-1%,8%
"","","","",random,# of humans (slope) | country,0%,-1%,8%
"","","","",random,year (Intercept),5%,4%,7%
"","","","",random,Residual,65%,49%,73%
Table S2d - 1c,Escape distance,Gaussian,3504,fixed,(Intercept),0.183,-0.137,0.512
"","","","",fixed,starting distance (ln),0.471,0.436,0.505
"","","","",fixed,flock size (ln),-0.028,-0.054,-0.002
"","","","",fixed,body mass (ln),0.214,0.102,0.321
"","","","",fixed,time (sine of radians),0.024,-0.014,0.062
"","","","",fixed,time (cosine of radians),-0.011,-0.044,0.021
"","","","",fixed,temperature,-0.026,-0.063,0.012
"","","","",fixed,# of humans,-0.054,-0.107,0.003
"","","","",random,species within day & year (Intercept),8%,6%,9%
"","","","",random,species within site (Intercept),4%,3%,5%
"","","","",random,site (Intercept),5%,5%,5%
"","","","",random,genus (Intercept),19%,17%,18%
"","","","",random,country (Intercept),0%,-2%,8%
"","","","",random,# of humans (slope) | country,0%,-2%,8%
"","","","",random,year (Intercept),6%,1%,12%
"","","","",random,Residual,58%,40%,68%
