model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S1 - 1a,Escape distance,Gaussian,6369,fixed,(Intercept),0.082,-0.128,0.288
"","","","",fixed,scale(log(SD)),0.477,0.454,0.501
"","","","",fixed,scale(log(FlockSize)),-0.008,-0.027,0.011
"","","","",fixed,scale(log(BodyMass)),0.046,-0.02,0.114
"","","","",fixed,scale(sin(rad)),0.022,-0.005,0.049
"","","","",fixed,scale(cos(rad)),0.029,0.006,0.051
"","","","",fixed,scale(Temp),0,-0.029,0.028
"","","","",fixed,scale(Period),-0.033,-0.191,0.13
"","","","",random %,species within day & year (Intercept),8%,6%,9%
"","","","",random %,species within site (Intercept),5%,4%,5%
"","","","",random %,site (Intercept),1%,0%,5%
"","","","",random %,site scale(Period),1%,0%,5%
"","","","",random %,species (Intercept),9%,8%,8%
"","","","",random %,genus (Intercept),6%,6%,6%
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),1%,-3%,5%
"","","","",random %,Country scale(Period),1%,-3%,5%
"","","","",random %,year (Intercept),3%,1%,4%
"","","","",random %,Residual,65%,51%,76%
Table S1 - 1b,Escape distance,Gaussian,6369,fixed,(Intercept),0.069,-0.154,0.291
"","","","",fixed,scale(log(SD)),0.478,0.455,0.503
"","","","",fixed,scale(log(FlockSize)),-0.007,-0.026,0.012
"","","","",fixed,scale(log(BodyMass)),0.046,-0.019,0.112
"","","","",fixed,scale(sin(rad)),0.02,-0.009,0.049
"","","","",fixed,scale(cos(rad)),0.027,0.005,0.051
"","","","",fixed,scale(Temp),-0.001,-0.029,0.028
"","","","",fixed,scale(Period),-0.047,-0.209,0.111
"","","","",random %,species within day & year (Intercept),12%,7%,14%
"","","","",random %,species within site (Intercept),0%,-1%,0%
"","","","",random %,species within site scale(Period),0%,-1%,0%
"","","","",random %,site (Intercept),2%,0%,5%
"","","","",random %,site scale(Period),2%,0%,5%
"","","","",random %,species (Intercept),0%,-1%,8%
"","","","",random %,species scale(Period),0%,-1%,8%
"","","","",random %,genus (Intercept),0%,0%,5%
"","","","",random %,genus scale(Period),0%,0%,5%
