model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S2 - 1a,Stringency Index,Gaussian,3676,fixed,(Intercept),-0.058,-0.303,0.179,"",""
"","","","",fixed,scale(Year),0.015,-0.029,0.061,"",""
"","","","",fixed,scale(log(SD)),0.484,0.453,0.516,"",""
"","","","",fixed,scale(log(FlockSize)),-0.002,-0.028,0.024,"",""
"","","","",fixed,scale(log(BodyMass)),0.019,-0.05,0.088,"",""
"","","","",fixed,scale(sin(rad)),-0.012,-0.053,0.029,"",""
"","","","",fixed,scale(cos(rad)),0.006,-0.026,0.039,"",""
"","","","",fixed,scale(Temp),0.004,-0.037,0.044,"",""
"","","","",fixed,scale(StringencyIndex),-0.024,-0.122,0.076,"",""
"","","","",random %,sp_day_year (Intercept),4%,3%,5%,"",""
"","","","",random %,sp_loc (Intercept),5%,4%,5%,"",""
"","","","",random %,Species (Intercept),7%,7%,7%,"",""
"","","","",random %,IDLocality (Intercept),3%,-1%,5%,"",""
"","","","",random %,IDLocality scale(StringencyIndex),3%,-1%,5%,"",""
"","","","",random %,genus (Intercept),0%,0%,4%,"",""
"","","","",random %,genus scale(StringencyIndex),0%,0%,4%,"",""
"","","","",random %,Country (Intercept),10%,5%,14%,"",""
"","","","",random %,Residual,68%,52%,81%,"",""
Table S2 - 1b,Stringency Index,Gaussian,3676,fixed,(Intercept),-0.062,-0.305,0.182,0.246659600748205,0.520608977879011
"","","","",fixed,scale(Year),0.016,-0.027,0.06,"",""
"","","","",fixed,scale(log(SD)),0.484,0.452,0.516,"",""
"","","","",fixed,scale(log(FlockSize)),-0.002,-0.029,0.024,"",""
"","","","",fixed,scale(log(BodyMass)),0.024,-0.044,0.093,"",""
"","","","",fixed,scale(sin(rad)),-0.012,-0.054,0.031,"",""
"","","","",fixed,scale(cos(rad)),0.006,-0.027,0.038,"",""
"","","","",fixed,scale(Temp),0.004,-0.036,0.045,"",""
"","","","",fixed,scale(StringencyIndex),-0.018,-0.113,0.079,"",""
"","","","",random %,sp_day_year (Intercept),4%,3%,5%,"",""
"","","","",random %,sp_loc (Intercept),5%,4%,5%,"",""
"","","","",random %,Species (Intercept),7%,7%,7%,"",""
"","","","",random %,IDLocality (Intercept),3%,-1%,6%,"",""
"","","","",random %,IDLocality scale(StringencyIndex),3%,-1%,6%,"",""
"","","","",random %,genus (Intercept),4%,3%,4%,"",""
"","","","",random %,Country (Intercept),9%,5%,15%,"",""
"","","","",random %,Residual,66%,55%,77%,"",""
Table S2 - 1c,Stringency Index,Gaussian,3676,fixed,(Intercept),-0.091,-0.25,0.063,0.284507154201427,0.397999943120352
"","","","",fixed,scale(Year),-0.005,-0.051,0.04,"",""
"","","","",fixed,scale(log(SD)),0.547,0.515,0.579,"",""
"","","","",fixed,scale(log(FlockSize)),-0.025,-0.052,0.001,"",""
"","","","",fixed,scale(log(BodyMass)),-0.024,-0.052,0.005,"",""
"","","","",fixed,scale(sin(rad)),-0.029,-0.071,0.013,"",""
"","","","",fixed,scale(cos(rad)),0.013,-0.02,0.048,"",""
"","","","",fixed,scale(Temp),0.012,-0.028,0.053,"",""
"","","","",fixed,scale(StringencyIndex),0.014,-0.076,0.107,"",""
"","","","",random %,IDLocality (Intercept),3%,-1%,9%,"",""
"","","","",random %,IDLocality scale(StringencyIndex),3%,-1%,9%,"",""
"","","","",random %,Country (Intercept),4%,1%,8%,"",""
"","","","",random %,Residual,91%,74%,100%,"",""
Table S2 - 2a,Stringency Index,Gaussian,3573,fixed,(Intercept),-0.137,-0.421,0.141,"",""
"","","","",fixed,scale(Year),0.016,-0.03,0.061,"",""
"","","","",fixed,scale(log(SD)),0.475,0.444,0.509,"",""
"","","","",fixed,scale(log(FlockSize)),0.005,-0.022,0.031,"",""
"","","","",fixed,scale(log(BodyMass)),-0.029,-0.104,0.049,"",""
"","","","",fixed,scale(sin(rad)),-0.011,-0.053,0.032,"",""
"","","","",fixed,scale(cos(rad)),0.003,-0.03,0.037,"",""
"","","","",fixed,scale(Temp),0.003,-0.039,0.045,"",""
"","","","",fixed,scale(StringencyIndex),-0.015,-0.115,0.088,"",""
"","","","",random %,sp_day_year (Intercept),4%,3%,4%,"",""
